URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change
https://www.amazon.ca/Hasbro-Wordle-Players-Official-Inspired/dp/B0B5B9CP17,0.03,307,14967,0,8,28,10,20,0,18,351,3301,316,0,9355
https://www.amazon.ca/MBNA-Amazon-ca-Rewards-Mastercard/dp/B07MJM4F44,0.03,663,13679,0,20,90,102,112,0,221,6196,4327,12794,0,1902
https://www.amazon.ca/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1TR9X6,0.02,260,13335,0,15,117,14,105,0,521,8134,23,6894,0,-616
https://www.amazon.ca/Programming-Language-2nd-Brian-Kernighan/dp/0131103628,0.01,75,7358,0,3,34,0,26,0,0,7358,0,7357,0,7041
https://www.amazon.ca/Super-Mario-Bros-Movie-Bilingual/dp/B0C1KQN747,0.01,267,6752,0,5,187,1,84,0,5,6697,1,6245,0,3186
https://www.amazon.ca/PlayStation-5-Console-Disc-Edition/dp/B0BCSYVXGL,0.01,47,6551,0,2,29,9,33,0,1,6509,40,6525,0,-7110
https://www.amazon.ca/Nizoral-Ketoconazole-Percent-Anti-dandruff-Shampoo/dp/B003M5PS2U,0.01,200,6046,0,30,113,13,31,0,67,5977,0,1442,0,-218
https://www.amazon.ca/Maps-International-Giant-Mega-Map-Lamination/dp/B00JR92Y8Q,0.01,175,6024,0,5,134,7,31,0,25,5996,0,552,0,3351
https://www.amazon.ca/Samyang-Spicy-Chicken-Flavor-Variety/dp/B0B1Z72SMJ,0.01,75,5439,0,5,67,0,54,0,137,5298,0,5138,0,133
https://www.amazon.ca/Titanic-English-audio-subtitles-Region/dp/B092MP1PHN,0.01,6,5325,0,0,6,0,5,0,0,5325,0,5325,0,3731
https://www.amazon.ca/Instant-Electric-Pressure-Sterilizer-Stainless/dp/B00FLYWNYQ,0.01,245,5266,0,22,97,18,100,0,165,4462,44,5051,0,2912
https://www.amazon.ca/How-Win-Friends-Influence-People/dp/0671027034,0.01,107,4731,0,0,78,3,1,0,0,4726,3,0,0,348
https://www.amazon.ca/Book-Big-Boobs-Pictures-Practical/dp/B084QL2Z8K,0,64,4464,0,5,44,0,3,0,55,4405,0,12,0,4464
https://www.amazon.ca/Oculus-Quest-Advanced-All-One/dp/B09B2YFYYX,0,333,4212,0,28,132,23,163,0,1189,3317,290,2873,0,1598
https://www.amazon.ca/Echo-Dot-5th-Gen/dp/B09B8V1LZ3,0,108,3949,0,4,45,17,72,0,28,689,763,3914,0,-693
