,rate,user,comment,comment_time,helpful
0,5 stars,Jorge Santos Mendez,This extension has saved me more money then the big boys. Thank you.,2024-04-03,
1,5 stars,Shelley Kenow Education Consultant,It has saved me a lot of money since I started using it!!!!,2024-04-03,
2,4 stars,MJL Obando,I can't see a downside. It costs nothing to use and saves money sometimes.,2024-04-02,
3,5 stars,Vason Rujiraviriyapinyo,Loved it. So quick. So easy.,2024-03-31,
4,5 stars,No More Night Media,regularly saves me 15% to 20%,2024-03-20,
5,5 stars,Christina Alford,Super quick and always useful. Why wouldn't you use it?,2024-03-14,1 person found this review to be helpful
6,5 stars,Kaelyn Tedder,awesome,2024-03-13,
7,5 stars,Archana Mannepalli,I love that this app actually goes thru and tests all the codes for me until it finds the best deal,2024-03-05,1 person found this review to be helpful
8,5 stars,Timothy Smith,It cost nothing and it saves money sometimes. No downside.,2024-03-03,1 person found this review to be helpful
9,5 stars,Carolyn Francis,This app helps you save money on EVERYTHING!!  Just have it installed and whatever site you are on it will show you savings you can use.,2024-02-29,1 person found this review to be helpful
10,5 stars,Julia Gonzalez,Me acabo de ahorrar 59 dolares en un curso de finanzas personales! muy oportuna esta aplicacion.,2024-02-28,
11,5 stars,Annette Chavez,I love that this app actually goes thru and tests all the codes for me until it finds the best deal,2024-02-27,
12,5 stars,Jovanni Carlos,I've been using this extension for the better part of 2 years and just today did it actually work. It saved me almost 4 dollars on G2A games. I can honestly say that i am a believer,2024-02-27,
13,5 stars,Creationsby_nv,"I have been using this fantastic app for some time now and am extremely satisfied with its performance. This app is very easy to use and has helped me save a lot of money numerous times. One of the key features of this app is that it offers better coupon codes than what the store may offer, which has been very beneficial for me. 

This app is convenient to use, as it allows me to access various discounts and deals with just a few clicks. I have recommended this app to all my friends and famil... Show more",2024-02-26,
14,5 stars,Deidra Ramsey,It's saves me money and I don't have to go looking for coupons Cently does it for me automatically LOVE IT!!!!,2024-02-21,1 person found this review to be helpful
15,5 stars,Williams Wapmaster Gyimah (Wapmaster),EASY TO USE. it pops up anytime im buying something and has saved me so much money.  I LOVE IT and I'll give 5 STARS ANY DAY.,2024-02-21,2 out of 2 people found this helpful
16,5 stars,Ali Fleuristal,On est passé de 117$ à 96$ pour l'hébergement de notre site web. Génial !!!,2024-02-21,0 out of 2 people found this helpful
17,5 stars,Jaymon Ballew,Really easy to use and a big cost saver!,2024-02-15,3 out of 3 people found this helpful
18,5 stars,Alejandro Torres,Saved me money on my first time using it. It does what it says. Worth the download.,2024-02-15,2 out of 2 people found this helpful
19,5 stars,Kate Pline,"This add-on has saved me hundreds in the last year, the only thing I use my laptop for is saving money with Cently.",2024-02-11,1 person found this review to be helpful
20,5 stars,"Stephen Smith, M.D.","Easy Peasy, just click the link and watch it work.",2024-02-09,
21,5 stars,David Ézéckyel Dupont,"I saved 18$ on a 170$ bill, thx for this.",2024-02-09,
22,5 stars,Ed Conzatti,It worked!,2024-02-08,
23,5 stars,Angela D,Cently is the best thing I've ever downloaded. It is only activated when it can save me money as I'm checking out. It be so cool to see how much money it has saved me since I got it! It WILL save you money- get it!,2024-02-04,
24,5 stars,Faith Peterson,saved 42$ on pinkcherry with this extension,2024-02-01,1 person found this review to be unhelpful
25,5 stars,jay h,It gave me a coupon I didn't even know I could get! Love!,2024-01-31,
26,5 stars,Daniel Kennedy,Really good!,2024-01-30,
27,5 stars,Todd Smith,It works very well and I find codes I didn't know existed.,2024-01-30,
28,5 stars,Randolph P Miller,While I have a Capitol One account with discount codes...sometimes the Cently code search really pays off big time.  I am a believer!!!,2024-01-26,
29,5 stars,Valera Hill,Definitely worth it,2024-01-26,
30,5 stars,Jennifer Horton,Love it!!,2024-01-20,1 person found this review to be helpful
31,5 stars,James Burtwistle,Works like a charm!,2024-01-16,
32,5 stars,Inspired Supreme,good,2024-01-14,
33,5 stars,Javier Paz de los Reyes,"La verdad que poco a poco ya e ahorrado unos 20 euros ,excelente Extension la recomiendo",2024-01-13,1 person found this review to be helpful
34,5 stars,Linda Haslam,"Saves me money, I love it.",2024-01-13,1 person found this review to be helpful
35,5 stars,T Williams,"easy to use, saves me money every time!",2024-01-11,1 person found this review to be helpful
36,5 stars,Jason Jeffers,An effortless way to save money! It pops on your screen and you decided if you want to save money or not. Make good choices people!,2024-01-06,1 person found this review to be helpful
37,5 stars,Eve C,"I don't know how it did it, but it worked! Couldn't love it more!!!",2024-01-05,1 person found this review to be helpful
38,5 stars,James B.,"Saves money, non-intrusive, easy to use.",2024-01-05,
39,5 stars,"Pratha Atluri, MD",Great App! Easy to use and always saves me money!,2024-01-04,
40,5 stars,Grant Protzman,Great and easy.,2024-01-03,1 person found this review to be helpful
41,5 stars,l s,SUPER EASY Just shop and save,2023-12-29,1 person found this review to be helpful
42,5 stars,Andi Greynolds,it's great getting surprise discounts on things you might not have even considered looking for discounts on,2023-12-27,
43,5 stars,AcryPanch,Ich habe damit gerade eben noch mehr als die 10% Rabatt durch einen Newsletter Gutschein gespart. Man lässt Codes durchtesten und manchmal kann man deutlich sparen.,2023-12-24,
44,5 stars,Gerod dunn,Super easy and convenient,2023-12-22,
45,5 stars,Tracie Simental,So easy and convenient!  Routinely saves me money!,2023-12-21,
46,5 stars,Justin Lao,"Don't waste your time with these coupon websites, this worked!",2023-12-21,
47,5 stars,Rainpoint Support,Very good software,2023-12-20,
48,5 stars,Sergi,Amzing work and saved me $25 on my $100 order!,2023-12-19,
49,5 stars,Karan J,"So easy to save money. You install the extension and then forget it, it does all the work for you. On eligible sites it automatically find you the best coupon and then automatically applies it. Can't ask for more than that!",2023-12-15,
50,5 stars,Melanie Saunders,was pleasantly surprised to be directed to a site that wanted to give me a coupon!,2023-12-12,
51,5 stars,Christopher Smith,Finds me coupons instantly. Will definitely recommend this.,2023-12-11,
52,5 stars,David Heron,Helped me save $104 on a 2500 e-bike purchase!  Awesome!,2023-12-11,
53,5 stars,Evangeline Larocque,Appreciate all Gently savings.,2023-12-07,
54,5 stars,Patrick Bennett,Cently saved me money by applying a coupon code that other browser extensions did not have. I recommend Cently,2023-12-01,2 out of 2 people found this helpful
55,5 stars,Md Zubaer Hossain,good,2023-11-29,1 person found this review to be helpful
56,5 stars,Michele Fleming,Just saved me $84!!,2023-11-29,1 person found this review to be helpful
57,5 stars,דניאל בטיט,"!wow this is amazing
very recommended",2023-11-28,
58,5 stars,Joanna Purcell,it works great and I don't have to hunt down codes to try,2023-11-28,2 out of 2 people found this helpful
59,5 stars,Karen Anderson,Worked great Awesome,2023-11-27,1 out of 2 people found this helpful
60,5 stars,shannon greene,AWSOME,2023-11-27,1 person found this review to be helpful
61,5 stars,Christina Konard,"It does what I always did manually : finds coupons and applies them in the cart automatically.
Love this, it's not time consuming and very usefull. Thank YOU!",2023-11-26,
62,4 stars,Charles Willis,Saved me $30 on a jewelry site.  Great!,2023-11-26,
63,5 stars,K.,"Excellent site, winning",2023-11-24,1 person found this review to be helpful
64,5 stars,Franny Trimble,greyt easy to use and fast,2023-11-24,
65,5 stars,Santiago Arcila,I love using cently!  It always saves me money and it's free!,2023-11-21,1 person found this review to be helpful
66,5 stars,Andrew Vayalil,Saves you money and you legit don't have to do anything so you might aswell.,2023-11-20,1 person found this review to be helpful
67,5 stars,James,"I thought this wouldn't work. Genuinely, it did. This stupid little extension actually saved me money, not every time, but today... $15. Worth it 100%",2023-11-08,2 out of 2 people found this helpful
68,5 stars,Crystal Lewandowski,Cently really works to help save money!!,2023-11-07,1 person found this review to be helpful
69,5 stars,Theresa Larkin,I love Cently! It saves me the time searching for savings and automatically applies the coupons to my orders for me!,2023-11-07,2 out of 2 people found this helpful
70,5 stars,F Wewer,I really like the new version.  It is intuitive and quick to see if any coupons exist.  I like it very much.  Thank you!,2023-11-04,1 person found this review to be helpful
71,5 stars,Taliushara Ki,It was fast in advance and worked out with a great discount.,2023-11-02,1 person found this review to be helpful
72,4 stars,Susan Seliga,thank you,2023-10-29,
73,5 stars,Jeral Mack,"Easy and hassle free, and FREE!",2023-10-25,1 person found this review to be helpful
74,5 stars,KBM Global,"A hassle-free way to save!
CENTLY truly is an easy way to save on your online purchases!  If I mistakenly make a purchase without this feature, I cancel and ensure that I use it at checkout to save the most money without having to hunt endlessly for codes on other applications.  It is a must-have for online shoppers who want to save money with ease!",2023-10-25,1 person found this review to be helpful
75,5 stars,Arthur Williamson,Too good to believe.,2023-10-21,
76,5 stars,Uday Sankeneni,Really a money saver. Saved me 13 bucks shopping at GymShark,2023-10-20,
77,5 stars,Shaya Kaufman,really helpful,2023-10-17,
78,5 stars,Leslie Whiteside,Great Coffee with rapid delivery.,2023-10-16,1 out of 2 people found this helpful
79,5 stars,Takenya Taylor,This is a great resource!,2023-10-12,1 person found this review to be helpful
80,5 stars,Steven Williams,worked great,2023-10-04,
81,5 stars,Tim Z. Anderson,Fantastic savings,2023-09-30,
82,1 stars,Ben Davenport,The coupons do not work im trying to save money and get stuff on best buy and none of the codes or deals work. this is fake.,2023-09-30,1 out of 3 people found this helpful
83,5 stars,Joshua N2K,"There isn't really much to say, just saves you money pretty consistently if you order stuff online. Also very fast and non-intrusive. Good extension",2023-09-29,1 person found this review to be helpful
84,5 stars,Gloria James,"Lucky me, save $12 on a vitamin order. Love Cently!",2023-09-27,1 person found this review to be helpful
85,5 stars,ronnie pennington,I loved my savings !!!,2023-09-26,
86,5 stars,Michelle Cunningham,saves me so much money online...just saved me $8 off a $50 dollar purchase and before that saved me $13 on a $100. it's like magic.,2023-09-24,
87,5 stars,Clínica Zajorí Terapia Creativa,Great savings!!,2023-09-19,
88,4 stars,Tracey Halsted,Thrilled with the easy way I was able to save a few dollars with disccount codes,2023-09-17,2 out of 2 people found this helpful
89,5 stars,Denise Phillips,I love using cently!  It always saves me money and it's free!,2023-09-16,
90,5 stars,Jerson Monterroso,Was hesitant but it does save money,2023-09-15,
91,5 stars,**Ballet** Babe**,Cently has saved me a lot of money!I highly recommend,2023-09-14,
92,5 stars,TheGpnanny,save 2.60 on 12.99 order. thanks,2023-09-13,1 person found this review to be helpful
93,5 stars,Elizabeth Rowe,Great little money saver!,2023-09-09,2 out of 2 people found this helpful
94,5 stars,Karen Landers,Great savings!  Cently really saves me money!  Thank you!,2023-09-08,1 person found this review to be helpful
95,5 stars,Sukhwinder Singh,I can't believe it's not butter!,2023-09-08,1 person found this review to be helpful
96,5 stars,jose rivera,wow it really works im always gonna use this from now on,2023-09-07,1 person found this review to be helpful
97,5 stars,Desiree wiggins,its great exactly what i needed,2023-09-05,1 person found this review to be helpful
98,5 stars,Paulino Cabrera (Cabrehruh),best way to get coupons for food!,2023-09-04,2 out of 2 people found this helpful
99,5 stars,jikkokuna,"easiest extension to use to be honest, and its my favorite one! never gives me any trouble and the doggo always tries his best to save me money :)",2023-09-04,2 out of 2 people found this helpful
100,5 stars,Chris Harrison,"I'm surprised the deals it finds, but it finds them.",2023-09-03,2 out of 2 people found this helpful
101,5 stars,Ash Bansal,"My first experience with Cently. I was reluctant to use this extension, since I assumed it won't offer meaningful savings. However, it delivered a 20% discount on the items that were already on sale. I will attempt to use this app at every opportunity in the future.",2023-08-31,2 out of 2 people found this helpful
102,3 stars,Brent Harris,cool saved 5%,2023-08-30,2 out of 2 people found this helpful
103,5 stars,Contessa Lovett,"GREAT SAVINGS.  GREAT APP.  THANKS, CENTLY.",2023-08-27,3 out of 3 people found this helpful
104,4 stars,Marion McCarthy,This is my first experience with Cently and so far I'm very impressed.  I'm looking forward to more savings in the future.,2023-08-26,2 out of 2 people found this helpful
105,5 stars,Kia Philadelphia,The found me a discount code. What's not to love!,2023-08-22,3 out of 3 people found this helpful
106,4 stars,Nour Alkhalidi,ok,2023-08-22,
107,5 stars,A Chrome Web Store user,What's not to love?  Saves me money nearly every time.,2023-08-22,3 out of 3 people found this helpful
108,5 stars,Donna Eckhardt,Best savings so far! Love It!!,2023-08-18,3 out of 4 people found this helpful
109,5 stars,Ryan Best,Awesome extension has saved me lots of money,2023-08-17,2 out of 3 people found this helpful
110,5 stars,Christopher Hobbs,Great extension for chrome that can save you money by simply shopping online. Cently runs the codes for you from across the web and delivers awesome savings every time. Easy to use and full of great coupons that save you money. Cently is definitely an extension worth trying. Especially if your on a tight budget with many mouths to feed.,2023-08-17,2 out of 2 people found this helpful
111,5 stars,Brandi Ricks,"Just saved me $45! I almost closed the pop up since it's a bit annoying, but I'm glad I didn't.",2023-08-16,2 out of 2 people found this helpful
112,5 stars,Jahan Sandhu,Does what it says. Has saved me over $100 at this point. Thanks cently :),2023-08-12,2 out of 3 people found this helpful
113,5 stars,Shelley VanBrocklin,Thanks Cently.  Saved $5,2023-08-09,2 out of 3 people found this helpful
114,5 stars,מתן שקד,פשוט כלי מדהים! תבורכו!,2023-08-07,
115,5 stars,David Hennessy,Saves a little. Worth the click :),2023-08-06,2 out of 2 people found this helpful
116,5 stars,Mac Fidler,It typically only pulls a discount code 30-40% of the time but has saved me a pretty big chunk of change over the years,2023-08-05,3 out of 3 people found this helpful
117,5 stars,Shane Lewis,Save me $$!! Would use again. Gud product. Like you guys lots!,2023-08-04,2 out of 2 people found this helpful
118,5 stars,Mark Tozer,I save $14 on a $45 order.,2023-08-03,2 out of 3 people found this helpful
119,5 stars,Fireball,easy money thats it and super simple,2023-08-01,2 out of 2 people found this helpful
120,5 stars,Boris Nazarov,I rarely use it but every now and then it's a nice little money saving devil :),2023-08-01,2 out of 2 people found this helpful
121,5 stars,Jessica Van Sickler,Love when Cently pops up and saves me $$$,2023-07-30,2 out of 2 people found this helpful
122,5 stars,David Campanaro,Saves money almost every time,2023-07-25,1 out of 2 people found this helpful
123,5 stars,Tekdelorean,finally an extension that works,2023-07-24,2 out of 2 people found this helpful
124,5 stars,ollie cole,excellent extension,2023-07-23,2 out of 2 people found this helpful
125,4 stars,Ireti Oluwagbemi,"Great extension, just saved me £20 off a £120 purchase!",2023-07-22,2 out of 2 people found this helpful
126,5 stars,Damien Griffiths,Better than any other extension I've tried like this. Including honey!,2023-07-22,2 out of 2 people found this helpful
127,5 stars,Amanda Mathis,Great,2023-07-21,1 person found this review to be helpful
128,5 stars,Irina Bulmash,great! thank you!,2023-07-20,1 person found this review to be helpful
129,5 stars,Carolyn Anderson,I just love Cently and how it saves me $$!,2023-07-20,
130,5 stars,Pat Cross,"Love it!  Always check for savings, it really works.",2023-07-17,1 person found this review to be helpful
131,5 stars,Eric Humphrey,really works,2023-07-17,3 out of 3 people found this helpful
132,5 stars,Gretchen Schadegg,I love that this came right up and saved me money! Thanks!!!,2023-07-16,2 out of 2 people found this helpful
133,5 stars,Kayla Swift,I love it.,2023-07-15,1 out of 2 people found this helpful
134,5 stars,Ali Dameron,Love it!,2023-07-14,2 out of 2 people found this helpful
135,5 stars,Estela Fennel,"first time that I've used Cently, and I got a great discount!",2023-07-14,2 out of 2 people found this helpful
136,5 stars,Ana Karen Miller,great!,2023-07-13,3 out of 3 people found this helpful
137,5 stars,Kelly Tamm,It is very helpful and good .Love it,2023-07-12,
138,5 stars,joshua,rlly good tbh,2023-07-09,2 out of 3 people found this helpful
139,5 stars,Ahmed Amara,Love it,2023-07-09,2 out of 2 people found this helpful
140,5 stars,Jermilya Morrison,This app is very helpful,2023-07-09,4 out of 4 people found this helpful
141,5 stars,Sam & Phil Wilkinson,love it!,2023-07-09,2 out of 2 people found this helpful
142,5 stars,Rachel Weaver,"Good, super easy.",2023-07-06,2 out of 2 people found this helpful
143,5 stars,Sarah Nell,saved $25,2023-07-05,2 out of 2 people found this helpful
144,5 stars,Douglas Heppner,Saved me $10!,2023-07-04,2 out of 2 people found this helpful
145,5 stars,Irene Argeitis,"i liked that bag and it was pretty expensive for what it was! i got 15% off, so thank you for making me feel less bad for myself!",2023-07-01,
146,5 stars,Kathy Gélinas,Je ne m'en passerais plus! Simple et efficace. J'ai sauvé beaucoup d'argent grâce à cette extension.,2023-07-01,1 out of 2 people found this helpful
147,5 stars,Roxan Mina,"Very easy to use, doesn't work all the time but it's great. I recommend it!!",2023-06-30,2 out of 2 people found this helpful
148,5 stars,Aramiox Perez,It does find me great deals and discounts.  It doesnt necessarily happen all the time as it varies by store but it does work.,2023-06-30,3 out of 3 people found this helpful
