类别：所有类别

周,Compression socks: (美国)
2019-04-14,53
2019-04-21,57
2019-04-28,60
2019-05-05,62
2019-05-12,59
2019-05-19,59
2019-05-26,60
2019-06-02,66
2019-06-09,62
2019-06-16,65
2019-06-23,61
2019-06-30,62
2019-07-07,63
2019-07-14,67
2019-07-21,66
2019-07-28,69
2019-08-04,66
2019-08-11,67
2019-08-18,63
2019-08-25,66
2019-09-01,60
2019-09-08,60
2019-09-15,63
2019-09-22,63
2019-09-29,64
2019-10-06,63
2019-10-13,60
2019-10-20,67
2019-10-27,59
2019-11-03,66
2019-11-10,64
2019-11-17,71
2019-11-24,78
2019-12-01,67
2019-12-08,72
2019-12-15,69
2019-12-22,68
2019-12-29,71
2020-01-05,70
2020-01-12,64
2020-01-19,68
2020-01-26,60
2020-02-02,60
2020-02-09,62
2020-02-16,64
2020-02-23,61
2020-03-01,62
2020-03-08,50
2020-03-15,38
2020-03-22,37
2020-03-29,38
2020-04-05,40
2020-04-12,44
2020-04-19,47
2020-04-26,50
2020-05-03,53
2020-05-10,53
2020-05-17,51
2020-05-24,58
2020-05-31,53
2020-06-07,56
2020-06-14,55
2020-06-21,60
2020-06-28,56
2020-07-05,59
2020-07-12,58
2020-07-19,59
2020-07-26,55
2020-08-02,55
2020-08-09,53
2020-08-16,55
2020-08-23,54
2020-08-30,54
2020-09-06,55
2020-09-13,54
2020-09-20,56
2020-09-27,55
2020-10-04,58
2020-10-11,59
2020-10-18,60
2020-10-25,59
2020-11-01,43
2020-11-08,57
2020-11-15,59
2020-11-22,57
2020-11-29,60
2020-12-06,59
2020-12-13,60
2020-12-20,53
2020-12-27,59
2021-01-03,57
2021-01-10,56
2021-01-17,53
2021-01-24,50
2021-01-31,59
2021-02-07,57
2021-02-14,50
2021-02-21,56
2021-02-28,60
2021-03-07,57
2021-03-14,56
2021-03-21,61
2021-03-28,63
2021-04-04,65
2021-04-11,64
2021-04-18,64
2021-04-25,67
2021-05-02,64
2021-05-09,61
2021-05-16,65
2021-05-23,65
2021-05-30,58
2021-06-06,69
2021-06-13,66
2021-06-20,67
2021-06-27,73
2021-07-04,65
2021-07-11,70
2021-07-18,69
2021-07-25,64
2021-08-01,64
2021-08-08,63
2021-08-15,64
2021-08-22,60
2021-08-29,61
2021-09-05,62
2021-09-12,65
2021-09-19,63
2021-09-26,62
2021-10-03,64
2021-10-10,61
2021-10-17,63
2021-10-24,62
2021-10-31,61
2021-11-07,64
2021-11-14,64
2021-11-21,63
2021-11-28,70
2021-12-05,66
2021-12-12,69
2021-12-19,58
2021-12-26,63
2022-01-02,58
2022-01-09,58
2022-01-16,56
2022-01-23,62
2022-01-30,65
2022-02-06,65
2022-02-13,62
2022-02-20,66
2022-02-27,67
2022-03-06,66
2022-03-13,73
2022-03-20,69
2022-03-27,69
2022-04-03,72
2022-04-10,67
2022-04-17,71
2022-04-24,70
2022-05-01,69
2022-05-08,70
2022-05-15,68
2022-05-22,68
2022-05-29,69
2022-06-05,72
2022-06-12,76
2022-06-19,75
2022-06-26,77
2022-07-03,79
2022-07-10,75
2022-07-17,81
2022-07-24,77
2022-07-31,78
2022-08-07,78
2022-08-14,77
2022-08-21,83
2022-08-28,76
2022-09-04,71
2022-09-11,73
2022-09-18,73
2022-09-25,73
2022-10-02,77
2022-10-09,73
2022-10-16,68
2022-10-23,75
2022-10-30,74
2022-11-06,70
2022-11-13,76
2022-11-20,79
2022-11-27,85
2022-12-04,83
2022-12-11,87
2022-12-18,79
2022-12-25,82
2023-01-01,80
2023-01-08,82
2023-01-15,81
2023-01-22,77
2023-01-29,78
2023-02-05,83
2023-02-12,78
2023-02-19,80
2023-02-26,81
2023-03-05,81
2023-03-12,86
2023-03-19,86
2023-03-26,85
2023-04-02,81
2023-04-09,86
2023-04-16,91
2023-04-23,92
2023-04-30,88
2023-05-07,93
2023-05-14,92
2023-05-21,91
2023-05-28,98
2023-06-04,93
2023-06-11,96
2023-06-18,98
2023-06-25,100
2023-07-02,100
2023-07-09,95
2023-07-16,91
2023-07-23,87
2023-07-30,88
2023-08-06,87
2023-08-13,87
2023-08-20,88
2023-08-27,82
2023-09-03,82
2023-09-10,89
2023-09-17,87
2023-09-24,88
2023-10-01,85
2023-10-08,88
2023-10-15,88
2023-10-22,79
2023-10-29,78
2023-11-05,85
2023-11-12,85
2023-11-19,94
2023-11-26,92
2023-12-03,89
2023-12-10,92
2023-12-17,86
2023-12-24,84
2023-12-31,83
2024-01-07,78
2024-01-14,73
2024-01-21,77
2024-01-28,74
2024-02-04,78
2024-02-11,75
2024-02-18,78
2024-02-25,83
2024-03-03,84
2024-03-10,79
2024-03-17,77
2024-03-24,78
2024-03-31,79
2024-04-07,80
2024-04-14,86
