类别：所有类别

周,Smartwatches: (美国)
2019-04-14,28
2019-04-21,27
2019-04-28,32
2019-05-05,36
2019-05-12,29
2019-05-19,32
2019-05-26,34
2019-06-02,33
2019-06-09,32
2019-06-16,37
2019-06-23,30
2019-06-30,25
2019-07-07,27
2019-07-14,43
2019-07-21,26
2019-07-28,31
2019-08-04,36
2019-08-11,30
2019-08-18,34
2019-08-25,31
2019-09-01,30
2019-09-08,32
2019-09-15,38
2019-09-22,36
2019-09-29,36
2019-10-06,32
2019-10-13,31
2019-10-20,31
2019-10-27,29
2019-11-03,32
2019-11-10,36
2019-11-17,42
2019-11-24,78
2019-12-01,61
2019-12-08,57
2019-12-15,60
2019-12-22,63
2019-12-29,48
2020-01-05,38
2020-01-12,36
2020-01-19,32
2020-01-26,31
2020-02-02,32
2020-02-09,41
2020-02-16,30
2020-02-23,32
2020-03-01,27
2020-03-08,22
2020-03-15,19
2020-03-22,20
2020-03-29,21
2020-04-05,20
2020-04-12,27
2020-04-19,25
2020-04-26,30
2020-05-03,34
2020-05-10,30
2020-05-17,30
2020-05-24,26
2020-05-31,27
2020-06-07,33
2020-06-14,32
2020-06-21,31
2020-06-28,30
2020-07-05,27
2020-07-12,22
2020-07-19,30
2020-07-26,32
2020-08-02,28
2020-08-09,28
2020-08-16,31
2020-08-23,24
2020-08-30,22
2020-09-06,25
2020-09-13,29
2020-09-20,29
2020-09-27,25
2020-10-04,31
2020-10-11,32
2020-10-18,25
2020-10-25,24
2020-11-01,20
2020-11-08,29
2020-11-15,32
2020-11-22,43
2020-11-29,38
2020-12-06,32
2020-12-13,28
2020-12-20,31
2020-12-27,29
2021-01-03,26
2021-01-10,20
2021-01-17,17
2021-01-24,18
2021-01-31,22
2021-02-07,17
2021-02-14,18
2021-02-21,17
2021-02-28,18
2021-03-07,17
2021-03-14,21
2021-03-21,16
2021-03-28,15
2021-04-04,20
2021-04-11,17
2021-04-18,18
2021-04-25,21
2021-05-02,21
2021-05-09,18
2021-05-16,17
2021-05-23,18
2021-05-30,17
2021-06-06,23
2021-06-13,21
2021-06-20,21
2021-06-27,17
2021-07-04,19
2021-07-11,18
2021-07-18,21
2021-07-25,22
2021-08-01,20
2021-08-08,19
2021-08-15,17
2021-08-22,16
2021-08-29,17
2021-09-05,13
2021-09-12,18
2021-09-19,16
2021-09-26,17
2021-10-03,15
2021-10-10,18
2021-10-17,18
2021-10-24,18
2021-10-31,18
2021-11-07,19
2021-11-14,20
2021-11-21,33
2021-11-28,29
2021-12-05,23
2021-12-12,22
2021-12-19,25
2021-12-26,25
2022-01-02,24
2022-01-09,21
2022-01-16,16
2022-01-23,21
2022-01-30,20
2022-02-06,19
2022-02-13,20
2022-02-20,16
2022-02-27,100
2022-03-06,23
2022-03-13,17
2022-03-20,23
2022-03-27,20
2022-04-03,20
2022-04-10,21
2022-04-17,23
2022-04-24,24
2022-05-01,22
2022-05-08,26
2022-05-15,21
2022-05-22,22
2022-05-29,19
2022-06-05,20
2022-06-12,21
2022-06-19,21
2022-06-26,18
2022-07-03,17
2022-07-10,29
2022-07-17,17
2022-07-24,21
2022-07-31,22
2022-08-07,20
2022-08-14,21
2022-08-21,21
2022-08-28,18
2022-09-04,21
2022-09-11,16
2022-09-18,16
2022-09-25,20
2022-10-02,22
2022-10-09,21
2022-10-16,20
2022-10-23,19
2022-10-30,20
2022-11-06,21
2022-11-13,20
2022-11-20,27
2022-11-27,22
2022-12-04,25
2022-12-11,23
2022-12-18,22
2022-12-25,25
2023-01-01,19
2023-01-08,17
2023-01-15,15
2023-01-22,17
2023-01-29,18
2023-02-05,17
2023-02-12,15
2023-02-19,18
2023-02-26,16
2023-03-05,18
2023-03-12,18
2023-03-19,17
2023-03-26,16
2023-04-02,18
2023-04-09,13
2023-04-16,20
2023-04-23,18
2023-04-30,16
2023-05-07,19
2023-05-14,17
2023-05-21,18
2023-05-28,16
2023-06-04,18
2023-06-11,16
2023-06-18,16
2023-06-25,19
2023-07-02,17
2023-07-09,18
2023-07-16,13
2023-07-23,17
2023-07-30,14
2023-08-06,18
2023-08-13,15
2023-08-20,13
2023-08-27,16
2023-09-03,16
2023-09-10,16
2023-09-17,15
2023-09-24,17
2023-10-01,16
2023-10-08,17
2023-10-15,17
2023-10-22,15
2023-10-29,16
2023-11-05,25
2023-11-12,17
2023-11-19,24
2023-11-26,21
2023-12-03,21
2023-12-10,15
2023-12-17,26
2023-12-24,21
2023-12-31,21
2024-01-07,15
2024-01-14,16
2024-01-21,11
2024-01-28,20
2024-02-04,18
2024-02-11,16
2024-02-18,18
2024-02-25,20
2024-03-03,13
2024-03-10,15
2024-03-17,14
2024-03-24,15
2024-03-31,12
2024-04-07,13
2024-04-14,14
